Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
SU1221,Pobeda,2025-08-04,02:25:51,60
U61215,S7 Airlines,2025-01-05,21:41:34,247
DP732,Rossiya,2024-03-19,20:15:08,232
N41003,Utair,2025-01-19,22:41:09,17
S7824,Pobeda,2024-11-18,14:12:33,264
UT1504,Nordwind,2025-09-28,19:18:00,96
U6568,Aeroflot,2025-08-06,14:58:33,256
WZ1186,S7 Airlines,2025-12-20,02:54:28,169
FV67,S7 Airlines,2025-12-20,03:44:20,125
U61375,S7 Airlines,2025-09-09,06:32:04,185
UT865,Aeroflot,2024-06-12,03:34:13,101
DP1753,Ural Airlines,2024-09-15,15:15:45,40
DP1715,Rossiya,2025-03-14,22:42:15,211
FV1681,Nordwind,2024-11-15,19:34:35,200
N4694,S7 Airlines,2024-09-20,14:23:42,97
UT650,Pobeda,2025-02-25,21:08:06,44
FV46,Ural Airlines,2025-07-11,20:53:53,212
S7164,Ural Airlines,2025-04-05,03:02:21,40
N499,Utair,2025-04-17,19:21:10,47
FV508,Rossiya,2024-01-21,05:30:31,14
DP1586,Ural Airlines,2025-06-10,11:26:47,229
UT287,Utair,2025-03-20,03:51:53,21
SU337,Nordwind,2024-08-24,18:09:42,6
SU803,S7 Airlines,2024-08-14,10:20:46,160
UT960,Aeroflot,2025-12-15,19:40:04,213
U61430,Aeroflot,2024-07-20,07:34:00,236
N41212,Utair,2025-09-26,15:46:51,273
FV251,Utair,2025-11-08,21:08:02,45
SU298,Red Wings,2025-02-09,22:29:46,49
FV1828,Pobeda,2024-11-27,21:51:32,130
N487,Aeroflot,2024-05-04,22:25:02,28
FV1743,Aeroflot,2025-06-27,12:28:36,146
DP640,Aeroflot,2024-02-02,05:50:38,29
FV1505,Ural Airlines,2025-08-23,17:25:13,50
WZ1889,S7 Airlines,2025-01-23,09:52:37,290
U6110,Utair,2025-02-15,09:59:53,35
U623,Aeroflot,2024-03-02,22:02:30,150
SU1696,Nordwind,2025-05-14,15:54:12,25
S7111,S7 Airlines,2025-06-23,09:48:59,43
SU1853,Ural Airlines,2024-12-13,19:04:51,204
FV27,Ural Airlines,2024-04-19,09:51:44,234
DP336,Aeroflot,2025-12-14,05:01:52,271
DP870,Nordwind,2025-04-08,11:16:39,287
SU1215,Aeroflot,2025-06-20,22:35:05,18
WZ1607,Aeroflot,2025-07-10,13:41:11,93
SU376,Utair,2025-10-15,21:06:50,272
N4417,Nordwind,2025-05-26,17:56:35,299
DP1255,S7 Airlines,2025-03-20,06:28:14,295
FV1500,Rossiya,2024-10-01,11:52:00,63
N41424,Ural Airlines,2024-09-24,07:25:24,293
WZ1698,Aeroflot,2024-05-24,03:18:17,153
N41257,Rossiya,2025-07-17,09:23:29,15
UT459,Red Wings,2024-07-13,21:36:44,203
WZ183,Red Wings,2024-03-11,17:18:05,180
FV525,Rossiya,2024-04-06,22:58:19,236
UT709,S7 Airlines,2024-02-22,08:41:42,282
UT645,Pobeda,2024-04-18,19:34:55,297
SU467,S7 Airlines,2025-05-13,19:09:59,106
S71288,Utair,2025-03-09,11:33:08,263
U6298,Aeroflot,2024-12-01,23:54:30,170
S71462,Ural Airlines,2025-12-19,09:31:50,147
UT488,Red Wings,2024-06-04,16:16:52,112
U61648,Ural Airlines,2024-10-14,08:24:18,265
WZ1107,Ural Airlines,2025-08-27,17:58:01,179
SU247,Ural Airlines,2024-03-06,00:04:40,108
DP1403,Pobeda,2025-06-13,19:18:54,101
SU1062,Utair,2025-01-15,02:21:36,152
SU1125,Rossiya,2024-05-07,01:57:19,115
DP1769,Nordwind,2025-12-15,22:07:48,50
DP1762,Nordwind,2025-12-27,23:10:33,218
N41663,Aeroflot,2025-03-08,05:48:49,246
FV493,Pobeda,2024-04-05,08:53:07,257
S71909,Rossiya,2024-10-12,22:30:41,126
S71432,S7 Airlines,2025-05-07,01:33:01,107
U61125,Aeroflot,2024-11-08,03:00:20,292
S7518,S7 Airlines,2025-02-12,02:31:21,9
FV541,Pobeda,2024-08-09,23:16:41,297
U61224,Nordwind,2024-06-07,22:24:30,255
S71993,Nordwind,2025-02-06,05:03:03,215
U6369,Aeroflot,2024-09-20,03:07:18,298
WZ501,Utair,2024-10-03,15:59:13,72
FV867,Nordwind,2024-04-20,19:01:19,157
FV1039,S7 Airlines,2025-11-21,19:02:53,121
DP635,Red Wings,2025-11-15,14:55:58,169
WZ63,Ural Airlines,2025-04-12,12:23:58,57
SU155,Utair,2024-01-20,00:52:40,206
U6378,Red Wings,2025-11-16,08:35:26,53
N4889,Pobeda,2024-03-16,23:59:49,239
UT1509,S7 Airlines,2025-05-19,14:14:52,14
SU1808,Pobeda,2025-02-17,02:25:16,3
SU1896,Red Wings,2024-06-17,12:11:01,134
WZ6,Ural Airlines,2025-10-10,10:25:37,267
FV1392,Rossiya,2024-12-08,09:52:53,175
S7677,Aeroflot,2025-03-02,15:22:00,118
UT1927,Pobeda,2025-04-15,18:22:09,179
U6783,S7 Airlines,2025-04-14,01:45:21,266
WZ1122,Pobeda,2025-05-19,14:38:34,158
SU847,Red Wings,2025-09-16,17:58:17,20
UT570,Utair,2024-12-14,12:12:07,19
U61696,S7 Airlines,2024-10-01,01:12:27,42
N41209,Red Wings,2024-06-23,00:11:23,52
FV1907,S7 Airlines,2024-02-02,01:56:52,211
UT603,Utair,2025-09-03,08:48:32,154
UT1671,Nordwind,2024-01-01,09:32:03,192
DP202,Utair,2025-05-01,21:34:59,247
S7886,Nordwind,2025-11-03,03:32:04,35
UT1006,Utair,2025-06-23,07:16:13,103
SU40,Red Wings,2025-01-14,09:22:56,201
N43,Utair,2025-08-08,15:38:23,34
S71635,Utair,2024-02-16,04:12:41,218
WZ345,Red Wings,2025-01-24,21:14:49,19
SU1543,Pobeda,2024-03-22,07:59:58,112
UT1812,Aeroflot,2025-07-03,06:51:25,167
SU1315,Utair,2024-06-01,09:09:12,230
UT683,S7 Airlines,2024-11-20,15:47:35,190
UT607,Red Wings,2024-09-19,19:06:45,15
FV1177,S7 Airlines,2024-01-10,01:34:42,122
FV292,Utair,2025-06-07,01:02:13,300
UT1931,Ural Airlines,2025-12-06,23:00:21,143
U6756,Red Wings,2024-10-26,04:22:01,104
N420,Nordwind,2024-01-21,13:16:33,215
N4610,Aeroflot,2024-12-25,23:58:40,34
S7329,Ural Airlines,2024-05-22,16:08:35,45
SU954,Rossiya,2025-12-22,22:29:50,244
DP649,S7 Airlines,2025-11-10,14:08:02,114
FV949,S7 Airlines,2025-06-08,16:31:16,1
S71912,Nordwind,2024-02-07,00:15:30,42
U6160,Nordwind,2024-07-20,21:45:39,94
S7748,Utair,2025-02-20,02:01:05,276
WZ1305,Utair,2024-04-16,08:29:59,63
DP632,Aeroflot,2024-09-17,19:15:13,216
UT611,Red Wings,2025-08-20,22:27:40,141
SU34,Pobeda,2025-12-04,08:18:34,205
FV755,Nordwind,2024-04-06,04:58:38,230
U61848,Ural Airlines,2024-12-10,07:58:49,136
U61177,Utair,2024-08-28,06:06:59,161
DP1744,Rossiya,2024-09-12,01:51:28,299
UT801,Nordwind,2025-10-21,03:41:58,225
DP433,Rossiya,2024-11-11,18:03:06,273
SU1171,Utair,2025-12-21,16:30:33,91
U61583,Nordwind,2024-07-06,01:01:40,72
DP705,Red Wings,2025-07-26,02:19:04,10
FV1772,Aeroflot,2024-07-02,01:08:38,280
FV683,S7 Airlines,2025-11-22,09:41:58,189
UT822,Ural Airlines,2024-06-03,03:05:44,174
U61181,Rossiya,2025-12-25,21:40:32,130
S7658,Ural Airlines,2025-10-22,08:43:01,30
SU1340,Red Wings,2024-07-01,10:16:10,114
FV1226,Ural Airlines,2024-12-09,11:24:55,200
U61476,Red Wings,2024-05-06,10:57:32,176
FV1219,S7 Airlines,2024-08-21,05:26:07,99
S71441,Red Wings,2025-05-20,23:47:00,114
SU1297,S7 Airlines,2025-02-07,14:42:01,41
UT541,Pobeda,2025-10-07,05:14:02,172
SU138,Red Wings,2025-07-26,14:54:56,232
N4822,Aeroflot,2025-07-26,03:40:13,228
SU1647,Aeroflot,2024-07-16,17:18:32,53
WZ1010,Aeroflot,2024-01-27,13:47:16,3
N41071,Red Wings,2025-06-22,00:27:36,68
UT1778,Aeroflot,2025-06-06,01:09:53,288
N4228,Aeroflot,2025-02-17,08:12:44,176
N4159,Ural Airlines,2024-11-14,04:11:51,113
FV1254,Red Wings,2025-10-01,13:23:23,34
U6123,Rossiya,2024-09-03,15:40:25,31
DP368,Rossiya,2024-02-05,23:06:29,266
UT343,Aeroflot,2024-12-16,06:35:11,137
U61635,Pobeda,2025-07-07,15:39:26,211
N4824,Ural Airlines,2025-07-03,07:25:25,41
S71532,Nordwind,2025-06-01,08:49:10,190
UT1353,Rossiya,2025-03-03,12:03:11,156
WZ1848,Ural Airlines,2025-05-08,07:49:51,47
UT1400,Utair,2025-07-20,02:04:53,86
DP439,Aeroflot,2024-10-18,06:39:38,266
WZ1888,Rossiya,2025-04-27,09:24:24,245
FV1618,Nordwind,2025-04-14,15:08:00,233
U6798,S7 Airlines,2025-10-04,02:46:34,137
N41284,Utair,2025-08-01,09:05:22,219
WZ202,Utair,2024-08-11,10:08:21,158
SU285,Aeroflot,2024-07-16,14:13:20,275
U6568,Aeroflot,2024-10-21,00:42:49,174
UT1865,Rossiya,2025-02-18,04:28:38,285
WZ1769,Aeroflot,2025-10-17,22:26:54,171
DP1595,Nordwind,2024-12-04,05:03:42,154
UT1769,Nordwind,2024-07-07,16:08:41,143
SU916,Nordwind,2025-10-20,23:12:25,242
WZ1519,Rossiya,2025-01-21,02:47:49,127
UT1409,Pobeda,2024-07-04,17:40:14,108
N41132,Utair,2025-02-20,09:56:36,135
WZ416,Utair,2024-06-04,07:31:19,264
WZ393,Nordwind,2025-04-08,22:33:22,179
U6424,Nordwind,2024-10-02,05:00:30,23
UT1733,Nordwind,2025-06-13,08:25:11,242
FV1013,Rossiya,2024-11-02,20:01:15,101
UT1460,S7 Airlines,2025-01-24,19:36:46,70
S7644,Pobeda,2025-07-10,04:29:40,59
U61106,Rossiya,2024-07-20,01:38:57,47
S7477,Pobeda,2025-06-28,11:54:55,14
FV913,Pobeda,2025-01-08,06:43:54,275
U61310,Ural Airlines,2025-02-13,22:54:06,169
SU795,Utair,2024-12-15,04:15:38,23
UT462,Nordwind,2024-01-06,04:10:20,202
UT1562,Utair,2024-02-11,08:50:17,26
FV167,Utair,2024-01-05,17:44:14,274
SU1106,Ural Airlines,2025-02-06,13:28:53,246
UT3,Rossiya,2025-09-20,22:43:22,154
UT1619,Pobeda,2024-08-27,03:20:56,7
S71327,Red Wings,2025-12-04,07:49:27,245
UT1734,Nordwind,2025-10-08,00:35:50,52
N4958,Utair,2024-10-24,16:43:37,153
S7484,Red Wings,2025-09-07,15:38:56,200
UT1891,Nordwind,2024-02-27,00:29:04,25
S7983,Pobeda,2025-02-19,03:09:32,121
SU574,Aeroflot,2025-11-07,00:22:20,220
DP1187,Pobeda,2024-02-16,23:21:20,252
FV1680,Aeroflot,2024-02-20,11:57:25,174
N4968,Utair,2024-11-01,00:49:54,204
FV870,Nordwind,2024-10-18,11:49:27,158
N41171,Red Wings,2025-01-23,06:32:25,25
WZ629,Utair,2024-07-04,01:48:54,31
FV1658,Nordwind,2025-12-06,20:58:50,105
WZ148,Nordwind,2024-01-09,03:41:42,171
N4489,Red Wings,2024-12-13,07:13:59,42
S7425,Utair,2024-07-23,11:50:27,15
N41578,S7 Airlines,2024-12-15,06:46:54,128
N41704,S7 Airlines,2025-02-16,02:59:33,245
U61404,Ural Airlines,2025-02-17,22:51:12,43
S71535,Rossiya,2024-05-22,08:55:20,285
S7116,Aeroflot,2025-05-19,04:37:11,48
FV1114,Aeroflot,2024-05-13,22:29:58,141
UT1675,S7 Airlines,2025-12-27,03:57:59,180
N41402,Utair,2025-04-03,10:40:27,231
