table_size,collisions,search_time_us,load_factor
101,15899,0.6,19.802
251,15749,0.5,7.96813
503,15497,0.6,3.97614
1009,14991,0.59,1.98216
2003,13997,0.6,0.998502
4001,12095,0.61,0.499875
8009,8979,0.56,0.249719
16001,5318,0.59,0.124992
32003,2399,0.56,0.0624941
64007,1358,0.55,0.0312466
100003,1048,0.57,0.0199994
150001,382,0.56,0.0133332
200003,475,0.57,0.00999985
250007,858,0.61,0.00799978
300017,428,0.62,0.00666629
350003,244,0.62,0.00571424
400009,3,0.63,0.00499989
450001,450,0.59,0.00444443
500009,836,0.61,0.00399993
